FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0000000	4.82606e-65	0.0653274	0.505887	0.505887	N/A	2.03738e-32	0.0494368
N0.HOG0000002	0.032796	0.522527	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000005	0.532289	0.0336612	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000016	0.532289	0.0113876	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000017	0.532289	0.0336612	2.69323e-86	0.533808	N/A	0.510424	7.19962e-10
N0.HOG0000021	0.532289	0.522527	2.56017e-77	0.522935	N/A	0.510424	2.47698e-06
N0.HOG0000029	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000031	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000032	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000036	0.132695	0.0951371	0.58281	2.08786e-11	N/A	0.530309	5.06222e-22
N0.HOG0000040	0.032796	0.522527	0.5	0.5	N/A	0.0307862	0.0252825
N0.HOG0000041	0.532289	3.07026e-09	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000042	0.0163963	0.522527	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000043	0.00262242	0.0336612	0.505887	0.00882236	N/A	0.0307862	0.516903
N0.HOG0000044	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000046	0.532289	5.91294e-06	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000047	2.06523e-06	0.543544	0.5	0.5	N/A	0.000341934	0.00016424
N0.HOG0000048	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000050	0.0163963	0.0336612	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000051	0.00601701	0.543544	0.00882236	0.505887	N/A	0.0455464	0.0494368
N0.HOG0000052	0.092262	0.543544	0.00590461	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000054	6.11375e-34	0.0336612	0.505887	0.505887	N/A	1.23123e-15	0.516903
N0.HOG0000055	0.132695	2.05978e-44	0.511671	0.0175067	N/A	0.530309	0.0725218
N0.HOG0000057	0.092262	7.96758e-49	0.00882236	0.505887	N/A	0.520523	0.0494368
N0.HOG0000062	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000066	0.532289	0.522527	5.62754e-59	0.505887	N/A	0.510424	0.516903
N0.HOG0000067	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000068	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000072	0.092262	0.543544	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000074	1.36035e-23	0.000304058	0.511671	1.82437e-05	N/A	1.86879e-11	0.532955
N0.HOG0000083	5.74047e-22	0.522527	0.505887	0.505887	N/A	9.21698e-10	0.516903
N0.HOG0000084	0.532289	5.91294e-06	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000087	0.532289	0.0336612	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000091	0.0035412	3.04046e-21	0.522935	4.49103e-07	N/A	0.539792	0.562688
N0.HOG0000092	5.74047e-22	0.522527	0.00882236	0.505887	N/A	9.21698e-10	0.516903
N0.HOG0000094	0.532289	0.0113876	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000095	0.032796	0.543544	0.505887	0.00882236	N/A	0.520523	0.0494368
N0.HOG0000096	0.032796	0.522527	0.5	0.5	N/A	0.0307862	0.0252825
N0.HOG0000097	0.561485	1.22502e-11	0.5	0.5	N/A	0.520523	0.00016424
N0.HOG0000098	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000099	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000102	0.532289	0.000259488	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000106	0.092262	1.22028e-19	0.505887	0.505887	N/A	0.520523	0.0494368
N0.HOG0000111	0.532289	0.522527	6.44855e-39	0.505887	N/A	0.510424	0.516903
N0.HOG0000112	0.532289	0.522527	0.505887	6.44855e-39	N/A	0.510424	0.516903
N0.HOG0000113	7.19361e-18	0.522527	0.5	0.5	N/A	9.21698e-10	0.0252825
N0.HOG0000124	0.532289	0.522527	0.522935	7.13455e-21	N/A	0.510424	2.47698e-06
N0.HOG0000125	0.561485	0.000304058	0.0175067	0.00590461	N/A	0.520523	0.532955
N0.HOG0000127	0.032796	0.0336612	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000129	0.532289	0.0336612	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000135	4.77668e-17	0.522527	0.505887	0.00882236	N/A	4.42322e-08	0.516903
N0.HOG0000144	0.00010028	0.598609	0.533808	0.533808	N/A	0.0209447	0.0424961
N0.HOG0000147	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000148	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000152	1.73233e-13	0.522527	0.505887	0.505887	N/A	2.6601e-06	0.516903
N0.HOG0000153	0.532289	0.522527	2.3492e-19	0.517353	N/A	0.510424	0.000145288
N0.HOG0000155	0.092262	0.543544	0.0175067	0.00590461	N/A	0.520523	0.532955
N0.HOG0000156	0.532289	0.0113876	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000160	0.561485	0.543544	0.00882236	0.505887	N/A	0.520523	0.0494368
N0.HOG0000170	0.032796	0.522527	0.5	0.5	N/A	0.0307862	0.0252825
N0.HOG0000171	0.0163963	0.522527	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000177	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000179	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000180	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000181	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000183	0.092262	0.0227759	0.511671	0.511671	N/A	0.520523	0.532955
N0.HOG0000184	0.587916	0.0951371	0.528419	0.0147565	N/A	0.530309	0.00168032
N0.HOG0000187	0.532289	0.0336612	0.511671	0.00590461	N/A	0.510424	0.00852191
N0.HOG0000188	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000190	0.532289	0.522527	0.00882236	1.25141e-16	N/A	0.510424	0.516903
N0.HOG0000191	0.032796	0.522527	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000192	0.532289	0.522527	0.505887	8.98319e-28	N/A	0.510424	0.516903
N0.HOG0000193	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000194	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000195	0.092262	0.543544	0.00590461	0.0175067	N/A	0.520523	0.532955
N0.HOG0000197	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000198	0.092262	0.543544	0.00590461	0.0175067	N/A	0.520523	0.532955
N0.HOG0000200	0.587916	0.0951371	0.000206536	5.38951e-05	N/A	0.530309	0.548201
N0.HOG0000202	0.092262	0.543544	0.522935	2.18945e-08	N/A	0.520523	0.000716662
N0.HOG0000204	0.532289	2.23186e-22	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000207	0.0163963	0.0336612	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000209	0.532289	0.0336612	8.98319e-28	0.00882236	N/A	0.510424	0.516903
N0.HOG0000210	0.532289	0.522527	0.000591933	0.528419	N/A	0.510424	4.22295e-08
N0.HOG0000213	0.532289	0.522527	2.57643e-23	0.505887	N/A	0.510424	0.516903
N0.HOG0000214	0.092262	0.543544	0.0175067	0.511671	N/A	0.520523	0.532955
N0.HOG0000216	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000217	0.092262	0.0012742	0.511671	0.511671	N/A	0.520523	0.532955
N0.HOG0000220	0.561485	0.0653274	0.517353	0.00885641	N/A	0.520523	0.0170441
N0.HOG0000221	0.561485	0.0653274	4.31701e-20	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000224	0.611874	4.49499e-06	0.5	0.5	N/A	0.539792	1.1442e-07
N0.HOG0000225	0.532289	0.0336612	0.00882236	8.98319e-28	N/A	0.510424	0.516903
N0.HOG0000227	0.092262	0.0227759	0.511671	0.511671	N/A	0.520523	0.532955
N0.HOG0000231	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
