FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0000000	73	1	1	1	19	2	1
N0.HOG0000002	3	1	1	1	2	1	1
N0.HOG0000003	1	1	1	1	1	1	1
N0.HOG0000004	1	1	1	1	1	1	1
N0.HOG0000005	1	0	1	0	1	1	1
N0.HOG0000006	1	1	1	1	1	1	1
N0.HOG0000007	1	1	1	1	1	1	1
N0.HOG0000008	1	1	1	1	1	1	1
N0.HOG0000009	1	1	1	1	1	1	1
N0.HOG0000010	1	1	1	1	1	1	1
N0.HOG0000011	1	1	1	1	1	1	1
N0.HOG0000012	1	1	1	1	1	1	1
N0.HOG0000013	1	1	1	1	1	1	1
N0.HOG0000014	1	1	1	1	1	1	1
N0.HOG0000015	1	1	1	1	1	1	1
N0.HOG0000016	1	2	0	0	1	1	0
N0.HOG0000017	1	0	47	6	1	1	6
N0.HOG0000021	1	1	40	4	1	1	4
N0.HOG0000022	2	2	1	1	2	2	1
N0.HOG0000024	1	1	1	1	1	1	1
N0.HOG0000026	1	2	2	2	2	2	2
N0.HOG0000027	2	1	1	1	1	1	1
N0.HOG0000028	1	1	1	1	1	1	1
N0.HOG0000029	1	1	0	1	1	1	1
N0.HOG0000030	1	1	0	0	1	1	0
N0.HOG0000031	1	1	1	0	1	1	1
N0.HOG0000032	1	1	2	1	1	1	1
N0.HOG0000033	1	1	0	0	1	1	0
N0.HOG0000035	1	1	0	0	1	1	0
N0.HOG0000036	2	2	16	23	3	3	16
N0.HOG0000040	3	1	0	0	2	1	0
N0.HOG0000041	1	6	0	0	1	1	0
N0.HOG0000042	2	1	0	0	1	1	0
N0.HOG0000043	4	0	1	0	2	1	1
N0.HOG0000044	1	0	0	1	1	1	1
N0.HOG0000045	2	2	2	1	2	2	2
N0.HOG0000046	1	4	1	0	1	1	1
N0.HOG0000047	9	2	0	0	4	2	0
N0.HOG0000048	1	1	0	1	1	1	1
N0.HOG0000050	2	0	1	0	1	1	1
N0.HOG0000051	5	2	0	1	3	2	1
N0.HOG0000052	1	2	3	0	2	2	2
N0.HOG0000054	36	0	1	1	9	1	1
N0.HOG0000055	2	31	2	1	3	3	2
N0.HOG0000057	1	32	0	1	2	2	1
N0.HOG0000058	1	1	1	1	1	1	1
N0.HOG0000059	1	1	1	1	1	1	1
N0.HOG0000060	1	1	1	1	1	1	1
N0.HOG0000061	1	1	1	1	1	1	1
N0.HOG0000062	1	1	1	2	1	1	1
N0.HOG0000063	1	1	1	1	1	1	1
N0.HOG0000064	1	1	1	1	1	1	1
N0.HOG0000065	1	1	1	1	1	1	1
N0.HOG0000066	1	1	27	1	1	1	1
N0.HOG0000067	1	1	1	2	1	1	1
N0.HOG0000068	1	1	1	0	1	1	1
N0.HOG0000069	1	1	1	1	1	1	1
N0.HOG0000070	1	1	1	1	1	1	1
N0.HOG0000071	1	1	1	1	1	1	1
N0.HOG0000072	1	2	2	1	2	2	2
N0.HOG0000073	1	1	1	1	1	1	1
N0.HOG0000074	27	0	2	0	8	2	2
N0.HOG0000075	1	1	1	1	1	1	1
N0.HOG0000076	1	1	1	1	1	1	1
N0.HOG0000077	1	1	1	1	1	1	1
N0.HOG0000078	1	1	1	1	1	1	1
N0.HOG0000079	1	1	1	1	1	1	1
N0.HOG0000080	1	1	1	1	1	1	1
N0.HOG0000081	1	1	1	1	1	1	1
N0.HOG0000083	23	1	1	1	6	1	1
N0.HOG0000084	1	4	1	1	1	1	1
N0.HOG0000087	1	0	1	2	1	1	1
N0.HOG0000088	1	1	1	1	1	1	1
N0.HOG0000089	1	1	1	1	1	1	1
N0.HOG0000091	2	18	4	1	4	4	4
N0.HOG0000092	23	1	0	1	6	1	1
N0.HOG0000094	1	2	0	0	1	1	0
N0.HOG0000095	3	2	1	0	2	2	1
N0.HOG0000096	3	1	0	0	2	1	0
N0.HOG0000097	2	9	0	0	2	2	0
N0.HOG0000098	1	1	1	0	1	1	1
N0.HOG0000099	1	1	1	0	1	1	1
