#FamilyID	Likelihood of Family
N0.HOG0000000	-230.596
N0.HOG0000002	-11.7864
N0.HOG0000003	-5.20262
N0.HOG0000004	-5.20262
N0.HOG0000005	-14.0582
N0.HOG0000006	-5.20262
N0.HOG0000007	-5.20262
N0.HOG0000008	-5.20262
N0.HOG0000009	-5.20262
N0.HOG0000010	-5.20262
N0.HOG0000011	-5.20262
N0.HOG0000012	-5.20262
N0.HOG0000013	-5.20262
N0.HOG0000014	-5.20262
N0.HOG0000015	-5.20262
N0.HOG0000016	-12.9884
N0.HOG0000017	-224.824
N0.HOG0000021	-192.28
N0.HOG0000022	-8.69271
N0.HOG0000024	-5.20262
N0.HOG0000026	-8.04907
N0.HOG0000027	-8.6191
N0.HOG0000028	-5.20262
N0.HOG0000029	-10.3228
N0.HOG0000030	-9.21426
N0.HOG0000031	-10.3228
N0.HOG0000032	-10.3006
N0.HOG0000033	-9.21426
N0.HOG0000035	-9.21426
N0.HOG0000036	-82.3986
N0.HOG0000040	-15.8327
N0.HOG0000041	-28.0847
N0.HOG0000042	-12.6307
N0.HOG0000043	-23.6881
N0.HOG0000044	-14.0582
N0.HOG0000045	-9.79933
N0.HOG0000046	-21.623
N0.HOG0000047	-33.8493
N0.HOG0000048	-10.3228
N0.HOG0000050	-17.4747
N0.HOG0000051	-22.3373
N0.HOG0000052	-22.6933
N0.HOG0000054	-118.691
N0.HOG0000055	-114.57
N0.HOG0000057	-126.172
N0.HOG0000058	-5.20262
N0.HOG0000059	-5.20262
N0.HOG0000060	-5.20262
N0.HOG0000061	-5.20262
N0.HOG0000062	-10.3006
N0.HOG0000063	-5.20262
N0.HOG0000064	-5.20262
N0.HOG0000065	-5.20262
N0.HOG0000066	-137.822
N0.HOG0000067	-10.3006
N0.HOG0000068	-10.3228
N0.HOG0000069	-5.20262
N0.HOG0000070	-5.20262
N0.HOG0000071	-5.20262
N0.HOG0000072	-12.4582
N0.HOG0000073	-5.20262
N0.HOG0000074	-98.6851
N0.HOG0000075	-5.20262
N0.HOG0000076	-5.20262
N0.HOG0000077	-5.20262
N0.HOG0000078	-5.20262
N0.HOG0000079	-5.20262
N0.HOG0000080	-5.20262
N0.HOG0000081	-5.20262
N0.HOG0000083	-74.042
N0.HOG0000084	-16.5027
N0.HOG0000087	-14.0365
N0.HOG0000088	-5.20262
N0.HOG0000089	-5.20262
N0.HOG0000091	-70.4766
N0.HOG0000092	-79.1629
N0.HOG0000094	-12.9884
N0.HOG0000095	-16.5393
N0.HOG0000096	-15.8327
N0.HOG0000097	-37.7509
N0.HOG0000098	-10.3228
N0.HOG0000099	-10.3228
N0.HOG0000101	-5.20262
N0.HOG0000102	-12.736
N0.HOG0000105	-5.20262
N0.HOG0000106	-54.0466
N0.HOG0000107	-5.20262
N0.HOG0000109	-5.20262
N0.HOG0000110	-5.20262
N0.HOG0000111	-91.9008
N0.HOG0000112	-91.9008
N0.HOG0000113	-68.8367
N0.HOG0000115	-5.20262
N0.HOG0000116	-5.20262
N0.HOG0000117	-5.20262
N0.HOG0000118	-8.9381
N0.HOG0000119	-5.20262
N0.HOG0000120	-5.20262
N0.HOG0000121	-5.20262
N0.HOG0000122	-5.20262
N0.HOG0000123	-5.20262
N0.HOG0000124	-62.8581
N0.HOG0000125	-21.4682
N0.HOG0000126	-8.9381
N0.HOG0000127	-15.5565
N0.HOG0000129	-14.0365
N0.HOG0000130	-5.20262
N0.HOG0000131	-5.20262
N0.HOG0000132	-5.20262
N0.HOG0000133	-5.20262
N0.HOG0000134	-5.20262
N0.HOG0000135	-63.5773
N0.HOG0000139	-5.20262
N0.HOG0000141	-8.04907
N0.HOG0000142	-5.20262
N0.HOG0000144	-20.0626
N0.HOG0000145	-5.20262
N0.HOG0000146	-5.20262
N0.HOG0000147	-10.3228
N0.HOG0000148	-10.3228
N0.HOG0000149	-8.9381
N0.HOG0000152	-45.9916
N0.HOG0000153	-55.3157
N0.HOG0000155	-16.8803
N0.HOG0000156	-14.0894
N0.HOG0000157	-9.26911
N0.HOG0000158	-5.20262
N0.HOG0000159	-5.20262
N0.HOG0000160	-13.8148
N0.HOG0000161	-5.20262
N0.HOG0000165	-9.21426
N0.HOG0000166	-9.21426
N0.HOG0000167	-9.21426
N0.HOG0000168	-9.21426
N0.HOG0000169	-9.21426
N0.HOG0000170	-15.8327
N0.HOG0000171	-12.6307
N0.HOG0000173	-5.20262
N0.HOG0000174	-5.20262
N0.HOG0000175	-5.20262
N0.HOG0000176	-5.20262
N0.HOG0000177	-10.3228
N0.HOG0000179	-10.3228
N0.HOG0000180	-10.3228
N0.HOG0000181	-10.3006
N0.HOG0000182	-8.9381
N0.HOG0000183	-11.1157
N0.HOG0000184	-18.0349
N0.HOG0000187	-17.4325
N0.HOG0000188	-14.0582
N0.HOG0000189	-5.20262
N0.HOG0000190	-46.1266
N0.HOG0000191	-11.7864
N0.HOG0000192	-66.3949
N0.HOG0000193	-10.3228
N0.HOG0000194	-14.0582
N0.HOG0000195	-16.8803
N0.HOG0000196	-8.6191
N0.HOG0000197	-10.3228
N0.HOG0000198	-16.8803
N0.HOG0000199	-5.20262
N0.HOG0000200	-25.5599
N0.HOG0000202	-31.9181
N0.HOG0000204	-58.2775
N0.HOG0000206	-5.20262
N0.HOG0000207	-12.3546
N0.HOG0000208	-8.69271
N0.HOG0000209	-75.4389
N0.HOG0000210	-28.9818
N0.HOG0000213	-56.1939
N0.HOG0000214	-12.4582
N0.HOG0000215	-5.20262
N0.HOG0000216	-14.0582
N0.HOG0000217	-14.4698
N0.HOG0000218	-8.6191
N0.HOG0000219	-5.20262
N0.HOG0000220	-15.8095
N0.HOG0000221	-62.3545
N0.HOG0000223	-9.21426
N0.HOG0000224	-33.3153
N0.HOG0000225	-75.4389
N0.HOG0000226	-8.96927
N0.HOG0000227	-11.1157
N0.HOG0000228	-5.20262
N0.HOG0000229	-5.20262
N0.HOG0000230	-8.96927
N0.HOG0000231	-10.3228
N0.HOG0000232	-19.693
N0.HOG0000233	-42.9376
N0.HOG0000234	-33.5457
N0.HOG0000235	-10.3006
N0.HOG0000236	-5.20262
N0.HOG0000237	-5.20262
N0.HOG0000238	-5.20262
N0.HOG0000239	-5.20262
N0.HOG0000240	-8.6191
N0.HOG0000241	-38.0682
N0.HOG0000242	-10.3228
N0.HOG0000243	-10.3228
N0.HOG0000244	-25.3898
N0.HOG0000245	-5.20262
N0.HOG0000246	-5.20262
N0.HOG0000247	-5.20262
N0.HOG0000249	-30.3804
N0.HOG0000250	-5.20262
N0.HOG0000251	-5.20262
N0.HOG0000252	-5.20262
N0.HOG0000253	-45.9937
N0.HOG0000254	-37.9643
N0.HOG0000255	-10.3228
N0.HOG0000256	-13.6834
N0.HOG0000257	-9.21426
N0.HOG0000258	-5.20262
N0.HOG0000259	-18.6811
N0.HOG0000260	-5.20262
N0.HOG0000261	-10.3228
N0.HOG0000262	-10.3006
N0.HOG0000263	-30.2345
N0.HOG0000264	-24.1822
N0.HOG0000268	-5.20262
N0.HOG0000269	-10.3228
N0.HOG0000270	-5.20262
N0.HOG0000271	-26.363
N0.HOG0000272	-23.9811
N0.HOG0000273	-5.20262
N0.HOG0000274	-5.20262
N0.HOG0000275	-10.3228
N0.HOG0000276	-5.20262
N0.HOG0000277	-5.20262
N0.HOG0000278	-8.04907
N0.HOG0000279	-5.20262
N0.HOG0000280	-8.04907
N0.HOG0000282	-40.8939
N0.HOG0000283	-5.20262
N0.HOG0000284	-14.0582
N0.HOG0000285	-5.20262
N0.HOG0000286	-13.3316
N0.HOG0000287	-12.6307
N0.HOG0000288	-10.3228
N0.HOG0000289	-30.366
N0.HOG0000290	-23.0471
N0.HOG0000291	-20.6767
N0.HOG0000292	-5.20262
N0.HOG0000293	-12.4582
N0.HOG0000294	-8.9381
N0.HOG0000295	-14.0365
N0.HOG0000296	-10.3228
N0.HOG0000297	-17.39
N0.HOG0000298	-20.1213
N0.HOG0000299	-35.7944
N0.HOG0000300	-5.20262
N0.HOG0000301	-8.69271
N0.HOG0000302	-10.3228
N0.HOG0000303	-31.2178
N0.HOG0000307	-5.20262
N0.HOG0000308	-8.96927
N0.HOG0000309	-14.4698
N0.HOG0000310	-31.4982
N0.HOG0000311	-46.7276
