ensembl_gene_id	go_id
1	LOC724736	GO:0030215
2	LOC724736	GO:0005515
3	LOC100576781	
4	LOC552419	GO:0005525
5	LOC552419	GO:0003924
6	LOC552419	GO:0007264
7	LOC113219132	
8	LOC411477	GO:0005096
9	LOC411477	GO:0046872
10	LOC100578733	GO:0016747
11	LOC100578774	GO:0005515
12	LOC102656070	
13	LOC100576147	GO:0006355
14	LOC100576147	GO:0043565
15	LOC100576147	GO:0003700
16	LOC552486	GO:0003779
17	LOC552486	GO:0008290
18	LOC552486	GO:0051016
19	LOC102655014	
20	LOC409165	GO:0051082
21	LOC409165	GO:0006457
22	LOC409165	GO:0005509
23	LOC409165	GO:0005788
24	LOC409165	GO:0005783
25	LOC409165	GO:0005515
26	LOC100577342	GO:0003700
27	LOC100577342	GO:0046983
28	LOC410603	GO:0005549
29	LOC410603	GO:0004984
30	LOC410603	GO:0016020
31	LOC410603	GO:0007608
32	LOC551128	GO:0005524
33	LOC551128	GO:0005737
34	LOC551128	GO:0030163
35	LOC551128	GO:0036402
36	LOC551128	GO:0016887
37	LOC100578586	GO:0016021
38	LOC100578725	GO:0005737
39	LOC100578725	GO:0043066
40	LOC100578725	GO:0071986
41	LOC100578725	GO:0043154
42	LOC113218833	
43	LOC100577797	GO:0016021
44	LOC551871	GO:0016021
45	LOC551871	GO:0055085
46	LOC726900	
47	LOC100576797	
48	LOC100576797	GO:0006629
49	LOC100576797	GO:0016717
50	LOC413755	GO:0005515
51	LOC100578888	GO:0005634
52	LOC100578888	GO:0008270
53	LOC725251	GO:0005634
54	LOC725251	GO:0008270
55	LOC411589	GO:0005524
56	LOC411589	GO:0005634
57	LOC411589	GO:0003682
58	LOC411589	GO:0006281
59	LOC411589	GO:0007064
60	LOC411589	GO:0008278
61	LOC411589	GO:0016887
62	LOC411589	GO:0005694
63	LOC411589	GO:0051276
64	LOC411589	GO:0007062
65	LOC411589	GO:0005515
66	LOC102655064	
67	LOC100576272	GO:0000213
68	LOC100576272	GO:0000214
69	LOC100576272	GO:0000379
70	LOC100576272	GO:0016829
71	LOC100576272	GO:0003676
72	LOC100576272	GO:0006388
73	LOC100577995	GO:0003682
74	GeneID_107964931	
75	LOC552063	GO:0008270
76	LOC102654492	
77	LOC410878	GO:0003824
78	LOC410878	GO:0016021
79	LOC413573	GO:0046872
80	LOC413573	GO:0048188
81	LOC413573	GO:0051568
82	LOC413573	GO:0005515
83	LOC413573	
84	LOC100578841	
85	LOC726570	
86	LOC551556	
87	LOC551834	GO:0005525
88	LOC551834	GO:0003924
89	LOC102654948	
90	LOC727596	GO:0030246
91	LOC551125	GO:0005840
92	LOC551125	GO:0003735
93	LOC551125	GO:0006412
94	LOC102653881	GO:0016614
95	LOC102653881	GO:0050660
96	LOC100578508	
97	LOC410402	GO:0004252
98	LOC410402	GO:0006508
99	LOC727205	GO:0000127
100	LOC727205	GO:0006384
101	LOC100576703	
102	LOC100576703	GO:0005525
103	LOC726461	GO:0005515
104	LOC100576864	GO:0007099
105	LOC100576864	GO:1902017
106	LOC413675	GO:0006406
107	LOC413675	GO:0006606
108	LOC413675	GO:0017056
109	LOC413675	GO:0031080
110	LOC413675	GO:0031965
111	LOC413675	GO:0005643
112	LOC113219195	
113	LOC725679	GO:0003676
114	LOC725679	GO:0003723
115	LOC725679	GO:1990904
116	LOC113218895	GO:0006450
117	LOC552642	GO:0005524
118	LOC552642	GO:0003677
119	LOC552642	GO:0042555
120	LOC552642	GO:0006270
121	LOC552642	GO:0003678
122	LOC552642	GO:0032508
123	GeneID_406112	GO:0006355
124	GeneID_406112	GO:0005634
125	GeneID_406112	GO:0006357
126	GeneID_406112	GO:0048856
127	GeneID_406112	GO:0043227
128	LOC113219120	
129	LOC410538	GO:0016021
130	LOC410538	GO:0000030
131	LOC410538	
132	LOC102656919	
133	LOC412361	GO:0008289
134	LOC100576257	
135	LOC100578811	
136	LOC100576863	
137	LOC552081	GO:0005509
138	LOC552081	GO:0006851
139	LOC552603	
140	LOC100576387	
141	LOC409124	
142	LOC100576746	GO:0016021
143	LOC100576746	GO:0004930
144	LOC100576746	GO:0007186
145	LOC413053	GO:0005515
146	LOC113218909	
147	LOC724629	GO:0005840
148	LOC724629	GO:0003735
149	LOC724629	GO:0006412
150	LOC107964086	
151	LOC410227	GO:0016491
152	LOC100577573	
153	LOC551708	GO:0006886
154	LOC551708	GO:0030897
155	LOC551708	GO:0035542
156	LOC551708	GO:0042144
157	LOC551708	GO:0005764
158	LOC551708	GO:0005769
159	LOC551708	GO:0005770
160	LOC551708	GO:0005794
161	LOC551708	GO:0010008
162	LOC551708	GO:0030136
163	LOC551708	GO:0016192
164	LOC551708	GO:0046907
165	LOC551708	GO:0006623
166	LOC551708	GO:0005515
167	LOC551708	GO:0034058
168	LOC725357	GO:0005761
169	LOC725357	GO:0032543
170	LOC113219034	
171	LOC413689	GO:0016021
172	LOC413689	GO:0055085
173	LOC413689	GO:0016020
174	LOC413689	GO:0006811
175	LOC413689	GO:0015377
176	LOC411335	GO:0016021
177	LOC411335	GO:0070072
178	LOC412690	GO:0016021
179	LOC412690	GO:0019706
180	LOC412690	GO:0016409
181	LOC102654925	
182	LOC412739	GO:0005515
183	LOC413660	GO:0005524
184	LOC413660	GO:0005634
185	LOC413660	GO:0003676
186	LOC413660	GO:0003723
187	LOC413660	GO:0005730
188	LOC413660	GO:0003724
189	LOC727271	
190	LOC551188	GO:0046982
191	LOC551188	GO:0005515
192	LOC413590	GO:0005506
193	LOC413590	GO:0016491
194	LOC413590	GO:0008610
195	GeneID_100191002	GO:0005840
196	GeneID_100191002	GO:0003735
197	GeneID_100191002	GO:0006412
198	LOC725005	
199	LOC408876	
200	LOC725999	
201	LOC102656403	
202	LOC409313	GO:0005524
203	LOC409313	GO:0005885
204	LOC409313	GO:0034314
205	LOC409313	GO:0007015
206	LOC409313	GO:0005856
207	LOC409313	
208	LOC409313	GO:0003779
209	LOC409313	GO:0005737
210	LOC410534	GO:0005524
211	LOC410534	GO:0005634
212	LOC410534	GO:0003677
213	LOC410534	GO:0006355
214	LOC410534	GO:0003700
215	LOC725134	GO:0005737
216	LOC725134	GO:0005634
