Orthogroup	Bombus_affinis.prot.fa.largestIsoform	Bombus_bifarius.prot.fa.largestIsoform	Bombus_pyrosoma.prot.fa.largestIsoform	Bombus_terrestris.prot.fa.largestIsoform	amellifera_eg_gene	dmelanogaster_eg_gene
OG0000000	LOC126915048, LOC126915051, LOC126915070, LOC126915161, LOC126917226, LOC126917505, LOC126918131, LOC126920232, LOC126922037, LOC126922728, LOC126924202, LOC126924253, LOC126924254, LOC126926357	LOC117205835, LOC117206249, LOC117207165, LOC117207726, LOC117208472, LOC117208642, LOC117208665, LOC117209855, LOC117210014, LOC117212677, LOC117212721, LOC117212730, LOC117214084, LOC117214757, LOC117216654	LOC122567512, LOC122568415, LOC122568484, LOC122568710, LOC122569533, LOC122570849, LOC122572334, LOC122572360, LOC122573115, LOC122575390, LOC122575658, LOC122575836, LOC122576860, LOC122577001, LOC122577004	LOC100642216, LOC100642909, LOC100643212, LOC100644855, LOC100645894, LOC100645927, LOC100646011, LOC100646387, LOC100647147, LOC100648037, LOC100648319, LOC100648960, LOC105665787		FBgn0001313, FBgn0013810, FBgn0013810, FBgn0013811, FBgn0013812, FBgn0013812, FBgn0013813, FBgn0013813, FBgn0013813, FBgn0035581, FBgn0035581, FBgn0037254, FBgn0037726, FBgn0037726, FBgn0037726, FBgn0037726, FBgn0039510, FBgn0267432, FBgn0267433, FBgn0283476
OG0000001	LOC126926086	LOC117204925, LOC117204926, LOC117206893, LOC117208556, LOC117208560, LOC117208697, LOC117209167, LOC117209662, LOC117210484, LOC117211224, LOC117211225, LOC117211234, LOC117211235, LOC117211419, LOC117212831, LOC117212840, LOC117213245, LOC117213246, LOC117213259, LOC117213260, LOC117213268, LOC117213269, LOC117213271, LOC117213272, LOC117213300, LOC117213301, LOC117213302, LOC117213338, LOC117213339, LOC117213397, LOC117213398, LOC117213402, LOC117213405, LOC117213437, LOC117214956, LOC117214958, LOC117215014, LOC117215015, LOC117215153, LOC117215221, LOC117215261, LOC117215262, LOC117215293, LOC117215294, LOC117215297, LOC117215298, LOC117215303, LOC117215305, LOC117215306, LOC117215307, LOC117215323, LOC117215324, LOC117215326, LOC117215327, LOC117215346, LOC117215353, LOC117215410, LOC117215411, LOC117215413, LOC117215502, LOC117215568, LOC117215569, LOC117215570, LOC117215571, LOC117216028, LOC117216030, LOC117216040, LOC117216073, LOC117216074, LOC117216096, LOC117216097, LOC117216263, LOC117216264	LOC122574514	LOC105666972		
OG0000002	LOC126915040, LOC126915200, LOC126915201, LOC126915204, LOC126915247, LOC126915398, LOC126915399, LOC126927027, LOC126927030, LOC126927045, LOC126927481, LOC126927482, LOC126927483, LOC126927484, LOC126927485, LOC126927486, LOC126927487, LOC126927488, LOC126927763, LOC126927764, LOC126927765, LOC126927766, LOC126927767, LOC126927791, LOC126927881, LOC126927883, LOC126928081, LOC126928232, LOC126928297, LOC126928436, LOC126929019, LOC126929020, LOC126929021, LOC126929022, LOC126929023, LOC126929024, LOC126929025, LOC126929026, LOC126929027, LOC126929028, LOC126929029, LOC126929031, LOC126929032		LOC122568121	LOC125385264, LOC125385283, LOC125385284, LOC125385814, LOC125385815, LOC125385816, LOC125385817, LOC125385818, LOC125387035, LOC125387036, LOC125387037, LOC125387038, LOC125387039, LOC125387040, LOC125387041, LOC125387042, LOC125387043, LOC125387044, LOC125387045, LOC125387046, LOC125387047, LOC125387048, LOC125387130		
OG0000003	LOC126914255, LOC126914256, LOC126918153, LOC126925014, LOC126925209, LOC126925654, LOC126925909, LOC126926580, LOC126926582, LOC126926584, LOC126926770, LOC126926771, LOC126926781, LOC126926783, LOC126926913, LOC126926914, LOC126926916, LOC126927025, LOC126927026, LOC126927157, LOC126927158, LOC126927159, LOC126927160, LOC126927367, LOC126927382, LOC126927526, LOC126927527, LOC126927596, LOC126927597, LOC126927599, LOC126927615, LOC126927616, LOC126927619, LOC126927620, LOC126927834, LOC126927837, LOC126927851, LOC126927869, LOC126927870, LOC126927871, LOC126928000, LOC126928136, LOC126928137, LOC126928179, LOC126928180, LOC126928289, LOC126928292	LOC117212832		LOC105666507, LOC105666508, LOC105666727, LOC105666974, LOC125385258, LOC125386772		
OG0000004	LOC126914768, LOC126914769, LOC126914770, LOC126914771, LOC126914775, LOC126914776, LOC126914777, LOC126914779, LOC126914780, LOC126914781, LOC126926804, LOC126926805, LOC126926806, LOC126926807, LOC126926810, LOC126926811, LOC126926813, LOC126926814, LOC126926815, LOC126926816, LOC126926817, LOC126926974, LOC126926975, LOC126926976, LOC126926977, LOC126927220, LOC126927221, LOC126927224, LOC126927547, LOC126927579, LOC126927580, LOC126927989		LOC122565768	LOC125384732, LOC125384753, LOC125384770, LOC125384780, LOC125384789, LOC125384799, LOC125384804, LOC125384865, LOC125384868, LOC125384869, LOC125384870, LOC125384871, LOC125384872, LOC125384915, LOC125384916, LOC125384917, LOC125384921, LOC125384999, LOC125385005, LOC125385028		FBgn0033793
OG0000005	LOC126918175, LOC126918176, LOC126918177, LOC126918178, LOC126918244, LOC126918247, LOC126918248, LOC126918249, LOC126918252, LOC126918254, LOC126918260, LOC126918261	LOC117206574, LOC117206575, LOC117206576, LOC117206577, LOC117206578, LOC117206579, LOC117206580, LOC117206582, LOC117206643, LOC117206645, LOC117206647, LOC117206648, LOC117206652, LOC117206654, LOC117206655, LOC117206656	LOC122572217, LOC122572248, LOC122572267, LOC122572291, LOC122572308, LOC122572313, LOC122572319, LOC122572361, LOC122572367, LOC122572399, LOC122573775, LOC122573795, LOC122573801, LOC122573816, LOC122573823	LOC100644918, LOC100645042, LOC100645402, LOC100645744, LOC100646698, LOC100646818, LOC100646940, LOC100647057, LOC100647289, LOC100647410, LOC110120240		
OG0000006		LOC117208082, LOC117208439, LOC117208445, LOC117208448, LOC117208457, LOC117208467, LOC117208486, LOC117212145, LOC117212146, LOC117213369, LOC117213373, LOC117213463, LOC117213865, LOC117213869, LOC117213870, LOC117213872, LOC117213881, LOC117214101, LOC117214106, LOC117214120, LOC117214123, LOC117214138, LOC117214140, LOC117214599, LOC117214624, LOC117214634, LOC117214637, LOC117214908, LOC117214910, LOC117214914, LOC117214916, LOC117215017, LOC117215034, LOC117215035, LOC117215111, LOC117215113, LOC117215126, LOC117215217, LOC117215258, LOC117215359, LOC117215423, LOC117215462, LOC117215510, LOC117215544, LOC117215950, LOC117215951, LOC117216089, LOC117216105, LOC117216108, LOC117216109, LOC117216139, LOC117216480, LOC117216490, LOC117216643				
OG0000007	LOC126924132, LOC126924133, LOC126924134, LOC126924136, LOC126924142, LOC126924149, LOC126924479, LOC126924480, LOC126924481, LOC126924482, LOC126924483, LOC126928273, LOC126928756	LOC117208030, LOC117208032, LOC117208034, LOC117208035, LOC117208048, LOC117208049, LOC117208050, LOC117211402, LOC117214587, LOC117215103, LOC117215114	LOC122571372, LOC122571700, LOC122575670, LOC122575671, LOC122575673, LOC122575674, LOC122575675, LOC122575676, LOC122575679, LOC122575683, LOC122575684, LOC122575903, LOC122575904, LOC122575905	LOC100642745, LOC100643138, LOC100643260, LOC100643383, LOC100643505, LOC100643747, LOC100643989, LOC100646043, LOC100648345, LOC100649161, LOC100649718, LOC125386442, LOC125386476, LOC125386477, LOC125386478		
OG0000008						FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0002781, FBgn0261837, FBgn0261838, FBgn0261839, FBgn0261840, FBgn0261841, FBgn0261842, FBgn0261843, FBgn0261845, FBgn0266170, FBgn0266171, FBgn0266173, FBgn0266174, FBgn0266175, FBgn0266176, FBgn0266177, FBgn0266178, FBgn0267648, FBgn0267649, FBgn0267650, FBgn0267651, FBgn0267652
OG0000009		LOC117206213, LOC117206214, LOC117208040, LOC117208460, LOC117209659, LOC117212140, LOC117212452, LOC117212611, LOC117212612, LOC117212655, LOC117212879, LOC117212889, LOC117212896, LOC117212897, LOC117213008, LOC117213142, LOC117213143, LOC117213145, LOC117213249, LOC117213275, LOC117213276, LOC117213295, LOC117213365, LOC117213382, LOC117213383, LOC117213384, LOC117213392, LOC117213394, LOC117215148, LOC117215149, LOC117215151, LOC117215429, LOC117215430, LOC117215433, LOC117215798, LOC117215800, LOC117215893, LOC117215894, LOC117215896, LOC117215982, LOC117216015, LOC117216018, LOC117216019, LOC117216035, LOC117216036, LOC117216043, LOC117216044, LOC117216057, LOC117216082				
