HOG	OG	Gene Tree Parent Clade	Bombus_affinis	Bombus_bifarius	Bombus_pyrosoma	Bombus_terrestris
N0.HOG0000000	OG0000000	n0	LOC126926086	LOC117213398, LOC117209662, LOC117213260, LOC117216028, LOC117211235, LOC117216263, LOC117215261, LOC117213268, LOC117212831, LOC117216040, LOC117215571, LOC117213339, LOC117215410, LOC117215305, LOC117211224, LOC117213302, LOC117215327, LOC117215502, LOC117215324, LOC117208560, LOC117213246, LOC117204925, LOC117214956, LOC117215014, LOC117213300, LOC117211419, LOC117215353, LOC117208697, LOC117215221, LOC117206893, LOC117213437, LOC117215153, LOC117210484, LOC117216264, LOC117212840, LOC117215326, LOC117215323, LOC117215293, LOC117215297, LOC117204926, LOC117208556, LOC117215015, LOC117213301, LOC117214958, LOC117215346, LOC117213245, LOC117209167, LOC117211225, LOC117216030, LOC117211234, LOC117215303, LOC117215306, LOC117213269, LOC117216074, LOC117216096, LOC117213397, LOC117213272, LOC117215570, LOC117213402, LOC117213338, LOC117215262, LOC117215568, LOC117215411, LOC117213405, LOC117213259, LOC117215307, LOC117216097, LOC117215569, LOC117216073, LOC117215413, LOC117213271, LOC117215294, LOC117215298	LOC122574514	LOC105666972
N0.HOG0000001	OG0000001	n0	LOC126927027, LOC126928436, LOC126928297, LOC126928081, LOC126927883, LOC126915399, LOC126915040, LOC126927881, LOC126915247, LOC126915200, LOC126915201, LOC126915398, LOC126915204, LOC126929026, LOC126929019, LOC126927765, LOC126929020, LOC126929027, LOC126927766, LOC126927487, LOC126929032, LOC126927030, LOC126927488, LOC126927045, LOC126929028, LOC126927763, LOC126928232, LOC126929024, LOC126929031, LOC126929029, LOC126929023, LOC126929025, LOC126929022, LOC126929021, LOC126927481, LOC126927764, LOC126927482, LOC126927483, LOC126927486, LOC126927485, LOC126927484, LOC126927767, LOC126927791			LOC125387130, LOC125387045, LOC125387043, LOC125387044, LOC125387048, LOC125387046, LOC125387042, LOC125387047, LOC125385284, LOC125385283, LOC125385264, LOC125387041, LOC125387040, LOC125387035, LOC125387036, LOC125387038, LOC125387037, LOC125387039, LOC125385815, LOC125385816, LOC125385818, LOC125385817, LOC125385814
N0.HOG0000002	OG0000002	n1	LOC126926357	LOC117216654, LOC117208665, LOC117208472	LOC122576860	LOC100648037
N0.HOG0000003	OG0000002	n7	LOC126924202	LOC117210014	LOC122575390	LOC100645927
N0.HOG0000004	OG0000002	n13	LOC126920124	LOC117207163	LOC122570849	LOC100642216
N0.HOG0000005	OG0000002	n16	LOC126920232	LOC117207165		
N0.HOG0000006	OG0000002	n19	LOC126924254	LOC117209855	LOC122575658	LOC100645894
N0.HOG0000007	OG0000002	n22	LOC126915048	LOC117214757	LOC122568484	LOC100648319
N0.HOG0000008	OG0000002	n26	LOC126924253	LOC117205835	LOC122575836	LOC100646011
N0.HOG0000009	OG0000002	n30	LOC126922728	LOC117207726	LOC122569533	LOC100647147
N0.HOG0000010	OG0000002	n34	LOC126915070	LOC117212721	LOC122568415	LOC100642909
N0.HOG0000011	OG0000002	n40	LOC126917505	LOC117214084	LOC122572334	LOC100646387
N0.HOG0000012	OG0000002	n43	LOC126922037	LOC117208642	LOC122567512	LOC105665787
N0.HOG0000013	OG0000002	n46	LOC126917226	LOC117212677	LOC122572360	LOC100643212
N0.HOG0000014	OG0000002	n50	LOC126915051	LOC117212730	LOC122568710	LOC100648960
N0.HOG0000015	OG0000002	n53	LOC126918131	LOC117206249	LOC122573115	LOC100644855
N0.HOG0000016	OG0000002	n56		LOC117206259	LOC122577001, LOC122577004	
N0.HOG0000017	OG0000003	n0	LOC126926770, LOC126926771, LOC126926914, LOC126914255, LOC126926913, LOC126928000, LOC126925909, LOC126927382, LOC126918153, LOC126927159, LOC126927157, LOC126927619, LOC126927871, LOC126928292, LOC126928179, LOC126927615, LOC126927597, LOC126927527, LOC126927837, LOC126926916, LOC126927367, LOC126927869, LOC126925209, LOC126925654, LOC126926783, LOC126926781, LOC126914256, LOC126925014, LOC126927834, LOC126927025, LOC126927026, LOC126928136, LOC126928137, LOC126926582, LOC126927851, LOC126927599, LOC126927526, LOC126927596, LOC126928180, LOC126927616, LOC126927870, LOC126927620, LOC126927158, LOC126927160, LOC126928289, LOC126926580, LOC126926584	LOC117212832		LOC105666507, LOC125386772, LOC105666727, LOC105666974, LOC125385258, LOC105666508
N0.HOG0000018	OG0000004	n0		LOC117215217, LOC117214106, LOC117214120, LOC117215544, LOC117215423, LOC117213369, LOC117213373, LOC117215258, LOC117216480, LOC117216089, LOC117216490, LOC117215126, LOC117213865, LOC117215510, LOC117214624, LOC117214138, LOC117214140, LOC117215462, LOC117212145, LOC117208439, LOC117214123, LOC117208448, LOC117216643, LOC117212146, LOC117214916, LOC117208445, LOC117215111, LOC117214914, LOC117213872, LOC117213870, LOC117215113, LOC117214634, LOC117214910, LOC117214908, LOC117213463, LOC117216105, LOC117216109, LOC117216108, LOC117216139, LOC117215017, LOC117215951, LOC117215034, LOC117214599, LOC117215359, LOC117208486, LOC117208082, LOC117215950, LOC117215035, LOC117214637, LOC117214101, LOC117208457, LOC117208467, LOC117213869, LOC117213881		
N0.HOG0000019	OG0000005	n0	LOC126926975, LOC126926977, LOC126927989, LOC126927220, LOC126926976, LOC126927221, LOC126927579, LOC126927547, LOC126926974, LOC126926811, LOC126914768, LOC126926804, LOC126926805, LOC126914770, LOC126914769, LOC126914771, LOC126926813, LOC126926810, LOC126914777, LOC126926817, LOC126926807, LOC126926814, LOC126914775, LOC126914776, LOC126926806, LOC126914780, LOC126926816, LOC126927224, LOC126914781, LOC126914779, LOC126926815		LOC122565768	LOC125384871, LOC125384870, LOC125384872, LOC125384865, LOC125385028, LOC125384915, LOC125384868, LOC125384804, LOC125384916, LOC125384999, LOC125385005, LOC125384917, LOC125384799, LOC125384753, LOC125384770, LOC125384732, LOC125384780, LOC125384789, LOC125384921, LOC125384869
N0.HOG0000020	OG0000006	n0		LOC117216015, LOC117212140, LOC117213384, LOC117213383, LOC117215893, LOC117215151, LOC117215896, LOC117216019, LOC117212889, LOC117212612, LOC117212611, LOC117212655, LOC117208040, LOC117213365, LOC117208460, LOC117213145, LOC117213008, LOC117212879, LOC117213276, LOC117213142, LOC117215148, LOC117215800, LOC117213275, LOC117209659, LOC117212452, LOC117215430, LOC117212897, LOC117216082, LOC117215433, LOC117215798, LOC117215429, LOC117215149, LOC117216043, LOC117213249, LOC117213295, LOC117213143, LOC117216018, LOC117215894, LOC117216044, LOC117206213, LOC117206214, LOC117215982, LOC117213382, LOC117213392, LOC117212896, LOC117216057, LOC117213394, LOC117216035, LOC117216036		
N0.HOG0000021	OG0000007	n0	LOC126927836, LOC126928254, LOC126928269, LOC126928585, LOC126928348, LOC126928173, LOC126928374, LOC126915252, LOC126928209, LOC126928341, LOC126928113, LOC126928384, LOC126928619, LOC126928518, LOC126928595, LOC126928446, LOC126928416, LOC126927945, LOC126928201, LOC126927386, LOC126928583, LOC126927909, LOC126927908, LOC126927946, LOC126927910, LOC126928640, LOC126927373, LOC126927707, LOC126927703, LOC126921536, LOC126921538, LOC126927706, LOC126928272, LOC126928271, LOC126927705, LOC126927704, LOC126921537, LOC126928651, LOC126927702, LOC126913792	LOC117213441	LOC122568253	LOC100645154, LOC125385723, LOC125386972, LOC125384660
N0.HOG0000022	OG0000008	n1	LOC126918248	LOC117206582, LOC117206580	LOC122573801, LOC122573795	LOC100646698
N0.HOG0000023	OG0000008	n7	LOC126918249			LOC100645042
N0.HOG0000024	OG0000008	n10	LOC126918247	LOC117206654	LOC122572291	LOC100645402
N0.HOG0000025	OG0000008	n15	LOC126918176		LOC122572313	
N0.HOG0000026	OG0000008	n18	LOC126918175, LOC126918261	LOC117206647	LOC122572361, LOC122572267	LOC100647057, LOC100646940
N0.HOG0000027	OG0000008	n24	LOC126918244	LOC117206656, LOC117206655	LOC122572217	LOC110120240
N0.HOG0000028	OG0000008	n28	LOC126918260	LOC117206645	LOC122572319	LOC100646818
N0.HOG0000029	OG0000008	n32		LOC117206575	LOC122573823	LOC100645744
N0.HOG0000030	OG0000008	n36		LOC117206574	LOC122572367	
N0.HOG0000031	OG0000008	n37	LOC126918177	LOC117206643	LOC122572248	
N0.HOG0000032	OG0000008	n40	LOC126918254, LOC126918252	LOC117206579	LOC122573816	LOC100644918
N0.HOG0000033	OG0000008	n44		LOC117206648	LOC122573775	
N0.HOG0000034	OG0000009	n0	LOC126927716, LOC126927713, LOC126927208, LOC126927047, LOC126927046, LOC126927035, LOC126927037, LOC126927042, LOC126927031, LOC126927048, LOC126927033, LOC126927041, LOC126927036, LOC126927040, LOC126927044, LOC126927039, LOC126927038, LOC126927043, LOC126928639, LOC126928582, LOC126928401, LOC126927940, LOC126927941, LOC126927903, LOC126927904, LOC126928415, LOC126927371, LOC126928199, LOC126927383, LOC126915249, LOC126915251, LOC126915210, LOC126915209, LOC126928298, LOC126927886, LOC126927887, LOC126927884, LOC126915248, LOC126928078, LOC126928437, LOC126928080			LOC125387055, LOC100645358, LOC125385248, LOC125386973
N0.HOG0000035	OG0000010	n1		LOC117207561	LOC122572300	
N0.HOG0000036	OG0000010	n2	LOC126917968, LOC126917965, LOC126917967, LOC126917969, LOC126917207, LOC126917205, LOC126917204, LOC126917199, LOC126917197, LOC126917196, LOC126917200, LOC126917203, LOC126917198, LOC126917195, LOC126917201, LOC126917202	LOC117207074, LOC117207580	LOC122572394, LOC122572393	LOC125385995, LOC125385999, LOC125385998, LOC125385997, LOC125385996, LOC100649524, LOC125385914, LOC125385981, LOC125385979, LOC125385980, LOC100646070, LOC100649421, LOC125385919, LOC125385918, LOC125385982, LOC125385912, LOC125385913, LOC125385915, LOC125385917, LOC125385916, LOC100643777, LOC125386022, LOC125386023
