LOC122571469	XM_043735245.1
LOC122568817	XM_043729012.1
LOC122571062	XM_043734297.1,XM_043734301.1,XM_043734307.1,XM_043734306.1,XM_043734300.1,XM_043734304.1,XM_043734299.1,XM_043734298.1,XM_043734302.1,XM_043734303.1,XM_043734308.1,XM_043734305.1
LOC122572464	XM_043737427.1
LOC122569240	XM_043729966.1
LOC122572575	XM_043737668.1
LOC122574309	XM_043741749.1,XM_043741748.1
LOC122571571	XM_043735496.1
LOC122574050	XM_043741137.1
LOC122576387	XM_043746622.1
LOC122567237	XM_043725607.1,XM_043725608.1
LOC122572143	XM_043736779.1
LOC122565790	XM_043722147.1,XM_043722139.1
LOC122569956	XM_043731655.1,XM_043731656.1,XM_043731658.1,XM_043731661.1,XM_043731651.1,XM_043731659.1,XM_043731652.1,XM_043731654.1,XM_043731657.1,XM_043731653.1
LOC122577568	XM_043748889.1
LOC122570776	XM_043733601.1,XM_043733603.1,XM_043733602.1
LOC122572035	XM_043736549.1,XM_043736550.1
LOC122577226	XM_043748381.1,XM_043748380.1
LOC122575463	XM_043744450.1,XM_043744460.1
LOC122575981	XM_043745583.1
LOC122574316	XM_043741758.1,XM_043741759.1
LOC122570403	XM_043732667.1,XM_043732666.1,XM_043732664.1,XM_043732665.1,XM_043732669.1,XM_043732670.1
LOC122568527	XM_043728361.1,XM_043728360.1,XM_043728359.1
LOC122576566	XM_043747049.1
LOC122576228	XM_043746211.1,XM_043746212.1
LOC122568551	XM_043728424.1
LOC122571031	XM_043734208.1,XM_043734217.1
LOC122570245	XM_043732343.1
LOC122566552	XM_043723979.1,XM_043723980.1,XM_043723981.1,XM_043723983.1,XM_043723982.1
LOC122571140	XM_043734511.1,XM_043734512.1,XM_043734510.1,XM_043734513.1
LOC122569401	XM_043730389.1
LOC122575144	XM_043743698.1,XM_043743699.1,XM_043743696.1,XM_043743697.1
LOC122574933	XM_043743196.1,XM_043743197.1
LOC122577356	XM_043748650.1
LOC122570146	XM_043732087.1,XM_043732089.1,XM_043732088.1
LOC122574978	XM_043743276.1
LOC122568671	XM_043728675.1,XM_043728674.1
LOC122565591	XM_043721700.1
LOC122568445	XM_043728162.1
