FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0000000	54	-1	0	0	0	-17	-1
N0.HOG0000002	1	0	0	0	0	-1	0
N0.HOG0000003	0	0	0	0	0	0	0
N0.HOG0000004	0	0	0	0	0	0	0
N0.HOG0000005	0	-1	0	-1	0	0	0
N0.HOG0000006	0	0	0	0	0	0	0
N0.HOG0000007	0	0	0	0	0	0	0
N0.HOG0000008	0	0	0	0	0	0	0
N0.HOG0000009	0	0	0	0	0	0	0
N0.HOG0000010	0	0	0	0	0	0	0
N0.HOG0000011	0	0	0	0	0	0	0
N0.HOG0000012	0	0	0	0	0	0	0
N0.HOG0000013	0	0	0	0	0	0	0
N0.HOG0000014	0	0	0	0	0	0	0
N0.HOG0000015	0	0	0	0	0	0	0
N0.HOG0000016	0	1	0	0	0	0	-1
N0.HOG0000017	0	-1	41	0	0	0	5
N0.HOG0000021	0	0	36	0	0	0	3
N0.HOG0000022	0	0	0	0	0	0	-1
N0.HOG0000024	0	0	0	0	0	0	0
N0.HOG0000026	-1	0	0	0	0	0	0
N0.HOG0000027	1	0	0	0	0	0	0
N0.HOG0000028	0	0	0	0	0	0	0
N0.HOG0000029	0	0	-1	0	0	0	0
N0.HOG0000030	0	0	0	0	0	0	-1
N0.HOG0000031	0	0	0	-1	0	0	0
N0.HOG0000032	0	0	1	0	0	0	0
N0.HOG0000033	0	0	0	0	0	0	-1
N0.HOG0000035	0	0	0	0	0	0	-1
N0.HOG0000036	-1	-1	0	7	0	0	13
N0.HOG0000040	1	0	0	0	0	-1	-1
N0.HOG0000041	0	5	0	0	0	0	-1
N0.HOG0000042	1	0	0	0	0	0	-1
N0.HOG0000043	2	-1	0	-1	0	-1	0
N0.HOG0000044	0	-1	-1	0	0	0	0
N0.HOG0000045	0	0	0	-1	0	0	0
N0.HOG0000046	0	3	0	-1	0	0	0
N0.HOG0000047	5	0	0	0	0	-2	-2
N0.HOG0000048	0	0	-1	0	0	0	0
N0.HOG0000050	1	-1	0	-1	0	0	0
N0.HOG0000051	2	0	-1	0	0	-1	-1
N0.HOG0000052	-1	0	1	-2	0	0	0
N0.HOG0000054	27	-1	0	0	0	-8	0
N0.HOG0000055	-1	28	0	-1	0	0	-1
N0.HOG0000057	-1	30	-1	0	0	0	-1
N0.HOG0000058	0	0	0	0	0	0	0
N0.HOG0000059	0	0	0	0	0	0	0
N0.HOG0000060	0	0	0	0	0	0	0
N0.HOG0000061	0	0	0	0	0	0	0
N0.HOG0000062	0	0	0	1	0	0	0
N0.HOG0000063	0	0	0	0	0	0	0
N0.HOG0000064	0	0	0	0	0	0	0
N0.HOG0000065	0	0	0	0	0	0	0
N0.HOG0000066	0	0	26	0	0	0	0
N0.HOG0000067	0	0	0	1	0	0	0
N0.HOG0000068	0	0	0	-1	0	0	0
N0.HOG0000069	0	0	0	0	0	0	0
N0.HOG0000070	0	0	0	0	0	0	0
N0.HOG0000071	0	0	0	0	0	0	0
N0.HOG0000072	-1	0	0	-1	0	0	0
N0.HOG0000073	0	0	0	0	0	0	0
N0.HOG0000074	19	-2	0	-2	0	-6	0
N0.HOG0000075	0	0	0	0	0	0	0
N0.HOG0000076	0	0	0	0	0	0	0
N0.HOG0000077	0	0	0	0	0	0	0
N0.HOG0000078	0	0	0	0	0	0	0
N0.HOG0000079	0	0	0	0	0	0	0
N0.HOG0000080	0	0	0	0	0	0	0
N0.HOG0000081	0	0	0	0	0	0	0
N0.HOG0000083	17	0	0	0	0	-5	0
N0.HOG0000084	0	3	0	0	0	0	0
N0.HOG0000087	0	-1	0	1	0	0	0
N0.HOG0000088	0	0	0	0	0	0	0
N0.HOG0000089	0	0	0	0	0	0	0
N0.HOG0000091	-2	14	0	-3	0	0	0
N0.HOG0000092	17	0	-1	0	0	-5	0
N0.HOG0000094	0	1	0	0	0	0	-1
N0.HOG0000095	1	0	0	-1	0	0	-1
N0.HOG0000096	1	0	0	0	0	-1	-1
N0.HOG0000097	0	7	0	0	0	0	-2
N0.HOG0000098	0	0	0	-1	0	0	0
N0.HOG0000099	0	0	0	-1	0	0	0
N0.HOG0000101	0	0	0	0	0	0	0
N0.HOG0000102	0	2	0	0	0	0	0
N0.HOG0000105	0	0	0	0	0	0	0
N0.HOG0000106	-1	12	0	0	0	0	-1
N0.HOG0000107	0	0	0	0	0	0	0
N0.HOG0000109	0	0	0	0	0	0	0
N0.HOG0000110	0	0	0	0	0	0	0
N0.HOG0000111	0	0	17	0	0	0	0
N0.HOG0000112	0	0	0	17	0	0	0
N0.HOG0000113	14	0	0	0	0	-5	-1
N0.HOG0000115	0	0	0	0	0	0	0
N0.HOG0000116	0	0	0	0	0	0	0
N0.HOG0000117	0	0	0	0	0	0	0
N0.HOG0000118	0	-1	0	0	0	0	0
N0.HOG0000119	0	0	0	0	0	0	0
N0.HOG0000120	0	0	0	0	0	0	0
N0.HOG0000121	0	0	0	0	0	0	0
N0.HOG0000122	0	0	0	0	0	0	0
N0.HOG0000123	0	0	0	0	0	0	0
N0.HOG0000124	0	0	0	10	0	0	3
N0.HOG0000125	0	-2	-1	1	0	0	0
N0.HOG0000126	0	-1	0	0	0	0	0
