LOC105665897	XM_048407609.1
LOC100646425	XM_020864966.2,XM_020864965.2
LOC100647493	XM_003394593.4
LOC100644164	XM_048404219.1,XM_048404220.1
LOC100649909	XM_003403042.4
LOC100647400	XM_048413672.1
LOC100649248	XM_003393497.4
LOC125387046	XM_048414207.1
LOC100652064	XM_048408695.1,XM_048408693.1,XM_048408694.1
LOC100643761	XM_048405969.1,XM_048405970.1
LOC105666000	XM_012311101.3,XM_020864259.2,XM_012311100.3
LOC100651095	XM_003399875.4
LOC100648324	XM_003397198.4
LOC100646583	XM_048405211.1,XM_012307808.3,XM_048405210.1,XM_048405209.1,XM_048405208.1,XM_048405212.1
LOC100643413	XM_048409452.1
LOC100642663	XM_003401587.4
LOC100643772	XM_048408727.1
LOC100652244	XM_003397873.3
LOC110119316	XM_020863196.2
LOC100651618	XM_048412389.1,XM_048412390.1,XM_048412388.1,XM_048412391.1,XM_020867084.2,XM_048412392.1
LOC105667107	XM_012320325.2
LOC100647359	XM_003401706.4
LOC100648485	XM_012314556.3,XM_012314557.3
LOC110120342	XM_048404241.1
LOC100648523	XM_048409380.1,XM_048409379.1,XM_048409387.1,XM_048409385.1,XM_048409388.1,XM_020865097.2,XM_048409383.1,XM_048409384.1,XM_048409381.1,XM_048409382.1
LOC105667116	XM_020868365.2
LOC105665982	XM_020864256.2
LOC100645766	XM_012313272.3,XM_012313273.3,XM_048410097.1
LOC100645368	XM_003395141.4,XM_012308254.3
LOC100651627	XM_048413946.1
LOC110119307	XM_020863143.2
LOC100646384	XM_003397266.4
LOC100644468	XM_048406564.1
LOC100644296	XM_012310829.3,XM_012310830.3
LOC100650725	XM_003396163.4
LOC100650186	XM_048414173.1,XM_048414175.1,XM_048414174.1
LOC100642244	XM_048406204.1,XM_048406205.1,XM_003395441.4,XM_048406206.1,XM_048406207.1
LOC100645554	XM_003394102.4,XM_012320521.3,XM_012320522.3,XM_012320520.3
LOC100644399	XM_012308662.3,XM_048405942.1
LOC100643233	XM_048414327.1,XM_003393608.4
LOC100644871	XM_003392833.3
LOC100647115	XM_003400246.4
LOC100647969	XM_012309810.3,XM_048407147.1
LOC125387003	XM_048414178.1
LOC100650305	XM_048413854.1,XM_048413852.1,XM_048413853.1
LOC100645499	XM_012314133.3,XM_003399271.4
LOC100649460	XM_012313198.2,XM_012313199.3,XM_003398738.4
LOC100647331	XM_012320786.3,XM_003394283.4
LOC100646979	XM_048405568.1,XM_012308271.2
LOC125384999	XM_048405393.1,XM_048405394.1,XM_048405392.1,XM_048405391.1
LOC100645958	XM_003399275.3,XM_020865445.2,XM_048410524.1
LOC100647256	XM_012307942.3
LOC100647387	XM_012312781.3,XM_012312778.3,XM_003398401.4,XM_020865066.2,XM_012312777.3,XM_048409408.1,XM_012312779.3,XM_048409405.1,XM_048409406.1,XM_012312783.3,XM_012312785.3,XM_048409409.1,XM_048409410.1
LOC100644060	XM_048407424.1,XM_048407421.1,XM_048407422.1,XM_048407420.1,XM_020863758.2,XM_048407423.1,XM_048407425.1
LOC100652160	XM_003396092.4
LOC110119219	XM_020862733.2,XM_048405252.1,XM_048405253.1,XM_020862732.2
LOC100643195	XM_048406202.1,XM_048406201.1,XM_048406199.1
LOC100646332	XM_003393869.2
LOC100652077	XM_003396900.4,XM_003396901.4
LOC100647026	XM_003396214.4,XM_012309797.3
LOC100651586	XM_048413745.1,XM_003401974.4,XM_048413744.1
LOC100644177	XM_020864768.2,XM_003397564.4
LOC100644862	XM_003400632.3,XM_012316115.3,XM_012316117.3
LOC100644453	XM_048410467.1
LOC100647008	XM_003392930.4
LOC100648944	XM_020863974.2,XM_048407398.1,XM_003396873.4,XM_048407397.1
LOC105665934	XM_012310480.3
LOC100648856	XM_048405196.1,XM_048405195.1,XM_048405197.1,XM_048405194.1,XM_048405193.1
LOC100644502	XM_003401444.4
LOC100642658	XM_003400701.4,XM_048411723.1
LOC100651278	XM_048405111.1,XM_048405112.1
LOC105666426	XM_012315725.3
LOC100642392	XM_003403289.4
LOC100649749	XM_003401240.4
LOC100650836	XM_012316500.3
LOC100643605	XM_003394722.4
LOC100643447	XM_020863347.2,XM_012309350.3,XM_020863346.2,XM_003395943.4,XM_048406583.1
LOC100648548	XM_003393886.4
LOC105666408	XM_012315597.3
LOC100644240	XM_003393692.4
LOC100649448	XM_012308532.3
LOC105665914	XM_012310194.3
LOC100643879	XM_003394007.3
LOC100650807	XM_048405682.1,XM_048405681.1,XM_048405684.1,XM_048405683.1,XM_048405685.1
LOC105666329	XM_048410980.1
LOC100643391	XM_003402840.4
LOC100645920	XM_003399513.4
LOC100650567	XM_020864854.2,XM_048409289.1,XM_020864853.2,XM_020864855.2
LOC100648002	XM_003402651.4,XM_003402652.4,XM_012319024.3,XM_048413022.1
LOC100642985	XM_003403069.4
LOC100646225	XM_003396610.4,XM_003396609.4
LOC100647293	XM_012308685.3
LOC100647200	XM_048412617.1
LOC100652148	XM_003392888.4
LOC100651070	XM_003394066.4,XM_012320483.2,XM_012320484.3,XM_048414631.1
LOC100650816	XM_003398101.4,XM_012312411.3,XM_020865135.2
LOC125385793	XM_048409307.1
LOC100644048	XM_003393301.4
LOC100647885	XM_003403027.4
LOC100647311	XM_048410723.1,XM_048410725.1,XM_048410729.1,XM_048410728.1,XM_048410726.1,XM_048410730.1,XM_048410724.1,XM_048410727.1
LOC100642620	XM_048412330.1,XM_003401264.3,XM_048412329.1,XM_048412327.1,XM_048412328.1
LOC100648285	XM_003397597.4,XM_020864643.2
LOC100643213	XM_020866061.2,XM_020866060.2,XM_003399967.4
